"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "Vue", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\.eslintrc.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\@types\shims-vue.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 1, 5, 27
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\jsconfig.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\package-lock.json", "JSON", 3794, 0, 0, 0, 0, 0, 0, 0, 1, 3795
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\App.vue", "Vue", 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\AppState.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\assets\scss\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\assets\scss\_transitions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 5, 3, 42
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\assets\scss\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 244, 1, 25, 270
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 3, 39
"c:\Users\vroch\source\codeworks\Keeper\Keeper.client\src\assets\scss\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
